equipment_id,temperature,vibration,last_maintenance
af7c37cb,136,73,2025-02-23
f19228be,51,2,2025-05-28
2c685321,127,60,2025-03-11
2239f52b,75,52,2025-04-09
349b3bb7,97,61,2025-01-18
ab0dd0af,69,31,2025-04-16
21365ce2,57,53,2025-01-27
360f7fee,140,23,2025-02-03
8cf4ecdf,103,48,2025-01-20
6a6d4e79,66,24,2025-03-25
bd78b2eb,133,57,2025-04-22
6b1576a1,78,47,2025-01-21
a30a1f48,140,66,2025-05-11
e4cf4f7b,55,36,2025-02-17
157c406f,66,73,2025-04-05
88e0d788,65,88,2025-04-23
7df0e5ab,108,43,2025-05-05
da631ac2,61,70,2025-04-18
a2dbc65c,91,18,2025-04-29
b62eb87a,87,70,2025-04-10
04f30fa0,84,15,2025-03-19
1b45414c,78,46,2025-02-15
24a2c428,142,5,2025-01-19
5f282a95,122,51,2025-03-23
2ff1ecef,105,67,2025-04-05
a4a82fe8,95,32,2025-04-22
c54a8997,147,57,2025-06-05
caa59299,148,2,2025-02-15
f8655014,139,23,2025-04-14
9300bfcb,134,73,2025-03-22
4ea7a924,116,64,2025-04-27
92fcd561,91,24,2025-01-07
9acc322c,84,90,2025-02-27
e9d0ad1b,103,15,2025-05-12
0c3f554f,135,30,2025-04-23
03dc069d,118,86,2025-02-10
45f15873,61,29,2025-04-28
c205b6b1,111,33,2025-04-14
a7784754,111,39,2025-04-05
ce5e6a17,131,8,2025-05-28
491ccd09,123,37,2025-02-10
6511a326,139,45,2025-03-05
89f8ed5e,63,4,2025-04-04
50145268,108,44,2025-04-14
3ffc470f,85,24,2025-03-14
fc2edb9a,126,24,2025-04-26
f9aac493,139,70,2025-02-10
447433f8,69,53,2025-03-15
79a4f678,59,72,2025-05-27
82ca8716,73,66,2025-03-20
bab91979,89,57,2025-05-13
146a8dea,87,75,2025-04-11
50a79d66,63,17,2025-01-12
7cb9acac,59,19,2025-02-06
d2086ef3,101,77,2025-02-11
5c4001e6,143,27,2025-05-05
fa1c3eb1,56,48,2025-03-27
cf5804a2,107,9,2025-02-15
83552bc4,128,66,2025-02-18
41ddb95f,150,15,2025-02-12
ef040046,98,80,2025-02-22
fc337d7f,60,1,2025-04-08
b8ba0920,109,43,2025-04-02
2b684b05,128,14,2025-03-27
59890d5a,72,3,2025-02-17
c49f981c,102,64,2025-04-26
0a436292,59,22,2025-02-16
ac189839,73,94,2025-02-07
e9ebdd9b,104,7,2025-04-30
e37e5953,68,34,2025-02-20
acbc0f30,100,69,2025-04-08
87f0da3a,108,22,2025-01-15
c85b7d2b,131,79,2025-05-18
133ed018,52,45,2025-01-06
6d6909d8,133,65,2025-05-03
3d9aafd9,115,32,2025-02-10
d21ddcf0,107,74,2025-01-31
454cc2b6,118,8,2025-01-01
dec90224,139,14,2025-01-13
b46bd655,145,21,2025-04-18
85292d9c,65,91,2025-01-09
5ede381f,121,9,2025-05-19
9850a894,111,1,2025-05-13
be74c5a6,140,77,2025-02-02
1a206800,70,40,2025-01-20
e1031d26,80,80,2025-04-30
130ad3ba,60,52,2025-02-25
012ff0ab,103,77,2025-02-01
03c46c79,110,78,2025-04-07
6c4f3405,106,66,2025-03-13
d9ba7dbe,115,32,2025-04-02
59f3e66e,89,40,2025-03-20
5fac9c03,66,27,2025-05-30
59893a8d,114,86,2025-02-16
48a7c1f1,64,42,2025-01-22
7da8e416,105,35,2025-04-29
8c52c6c6,68,55,2025-05-12
e1a75b04,140,93,2025-05-15
a425683f,58,55,2025-01-31
7723178b,70,77,2025-02-23
6489fc3d,133,87,2025-02-26
d0e850d6,106,8,2025-03-23
4d6ca199,106,94,2025-05-27
c8094060,97,99,2025-05-31
2544b7f3,69,47,2025-02-19
4f9b6a26,99,57,2025-02-03
2d37a43f,92,28,2025-04-03
6d272ef0,72,66,2025-02-04
54401992,127,83,2025-04-08
5ba01208,130,39,2025-04-12
97653543,112,84,2025-02-06
31b48f70,133,36,2025-03-20
3823a7df,112,89,2025-04-29
98c1413e,142,31,2025-01-21
56c843aa,86,56,2025-05-17
96a46b89,66,18,2025-02-12
b06ea214,126,6,2025-05-06
90fcb9a9,140,24,2025-05-22
39d46959,103,3,2025-01-14
891e2a33,75,38,2025-05-17
936351a0,131,68,2025-01-24
50bdcce5,96,65,2025-05-19
3f1cae27,52,9,2025-03-17
856367fa,122,98,2025-04-09
524e93c7,134,17,2025-03-02
3cca4988,63,87,2025-05-24
c3619aa6,72,77,2025-01-31
ccadf444,102,70,2025-02-22
ccd8acfd,139,9,2025-03-08
4e8a8ab4,131,32,2025-02-08
5ad8257a,80,89,2025-05-15
54362bc1,65,32,2025-05-26
eaedcbd0,74,59,2025-04-08
90a4d060,100,100,2025-04-02
9719b0df,50,75,2025-02-18
340cea44,137,12,2025-02-03
cb457dfb,121,63,2025-04-18
f445f2fb,79,64,2025-04-06
a38186a3,88,40,2025-06-03
1845d106,118,49,2025-03-01
4b69a221,127,32,2025-05-13
66937310,113,95,2025-05-18
2f7bb5c8,143,49,2025-04-22
43ab97bd,134,56,2025-03-24
2278ddcd,66,65,2025-02-27
414ce69e,51,69,2025-04-01
0d48f46d,124,49,2025-02-11
76bd0811,102,80,2025-02-07
b4504f08,138,74,2025-02-09
cc3ede2a,105,31,2025-05-31
ac845a8c,125,35,2025-05-14
1b44482e,51,6,2025-02-25
00bfd36b,96,26,2025-04-26
af7045c2,127,71,2025-05-11
cc91272d,51,96,2025-05-15
c098019d,143,32,2025-05-09
7686f2db,90,74,2025-04-25
7ea72256,104,7,2025-05-22
38238f39,76,26,2025-05-05
793b8d6a,148,96,2025-04-01
545d96f2,84,5,2025-05-26
427e9590,121,48,2025-01-28
4ca4360a,91,70,2025-04-30
a15f6a16,126,18,2025-04-30
6b93b9f6,97,17,2025-05-03
cc20111b,66,19,2025-04-15
721268b8,99,69,2025-02-25
d439758c,116,63,2025-01-25
76e6bb8d,110,98,2025-04-27
bfcb2707,149,6,2025-05-09
ef6a3016,79,62,2025-01-09
1a407499,130,29,2025-03-03
d10ee18b,60,25,2025-05-06
1d9a9d36,106,17,2025-05-31
8411e6d6,94,70,2025-05-30
76dbda7f,106,58,2025-05-07
2e57d95f,146,43,2025-03-31
28cf8497,70,75,2025-01-13
53a990a6,133,34,2025-01-26
1a0dd557,106,90,2025-03-06
ed831180,103,96,2025-01-09
